id,name,continent,subregion,driving_side,area,population,gdp_per_capita,Armed Forces size,Capital/Major City,GDP,Latitude,Longitude,hemisphere,pop_density,is_landlocked,timezone_count,unesco_sites,population_cat,area_cat,GDP_cat,gdp_per_capita_cat,armed_forces_cat,pop_density_cat,timezone_cat,unesco_cat,latitude_cat,longitude_cat,olympics_hosted_count,olympics_latest_year
GAB,Gabon,Africa,Sub-Saharan Africa,Right,267670,2436566,8420,7000,Libreville,16657960228,-0.803689,11.609444,South,9.1,False,1,2,512.5K-2.6M,206.5K-456.9K km²,Small ($5B-$25B),$7.2K-$13.9K,1-10K,2-19 /km²,1,1-2,Equatorial (-10° to 10°),Europe/Africa (0° to 30°),0,0
GMB,Gambia,Africa,Western Africa,Right,10689,2422712,-1,-1,Banjul,-1,13.466667,-16.566667,North,226.65,False,1,2,512.5K-2.6M,2.8K-28.8K km²,Unknown,Unknown,Unknown,161-302 /km²,1,1-2,Tropical (10° to 25°),Atlantic (-50° to 0°),0,0
LSO,Lesotho,Africa,Sub-Saharan Africa,Left,30360,2330318,878,2000,Maseru,2460072444,-29.609988,28.233608,South,76.76,True,1,1,512.5K-2.6M,28.8K-88.2K km²,Micro (<$5B),$200-$1.6K,1-10K,72-103 /km²,1,1-2,Southern (-30° to -10°),Europe/Africa (0° to 30°),0,0
SVN,Slovenia,Europe,Southern Europe,Right,20480,2120937,32164,7000,Ljubljana,53742159517,46.151241,14.995463,North,103.56,False,1,5,512.5K-2.6M,2.8K-28.8K km²,Developing ($25B-$100B),$13.9K-$32.6K,1-10K,103-161 /km²,1,3-5,Temperate (40° to 55°),Europe/Africa (0° to 30°),0,0
LVA,Latvia,Europe,Northern Europe,Right,64590,1881750,23184,6000,Riga,34117202555,56.879635,24.603189,North,29.13,False,1,3,512.5K-2.6M,28.8K-88.2K km²,Developing ($25B-$100B),$13.9K-$32.6K,1-10K,19-44 /km²,1,3-5,Northern (55°+),Europe/Africa (0° to 30°),0,0
MKD,North Macedonia,Europe,Southeast Europe,Right,25713,1822612,-1,-1,Skopje,-1,41.833333,22.0,North,70.88,True,1,2,512.5K-2.6M,2.8K-28.8K km²,Unknown,Unknown,Unknown,44-72 /km²,1,1-2,Temperate (40° to 55°),Europe/Africa (0° to 30°),0,0
GNB,Guinea-Bissau,Africa,Western Africa,Right,36125,1781308,-1,-1,Bissau,-1,12.0,-15.0,North,49.31,False,1,0,512.5K-2.6M,28.8K-88.2K km²,Unknown,Unknown,Unknown,44-72 /km²,1,0,Tropical (10° to 25°),Atlantic (-50° to 0°),0,0
GNQ,Equatorial Guinea,Africa,Sub-Saharan Africa,Right,28050,1714671,7067,1000,Malabo,11026774945,1.650801,10.267895,North,61.13,False,1,0,512.5K-2.6M,2.8K-28.8K km²,Small ($5B-$25B),$3.8K-$7.2K,1-10K,44-72 /km²,1,0,Equatorial (-10° to 10°),Europe/Africa (0° to 30°),0,0
TTO,Trinidad and Tobago,Americas,Latin America And The Caribbean,Left,5130,1534937,18333,4000,Port of Spain,24100202834,10.691803,-61.222503,North,299.21,False,1,0,512.5K-2.6M,2.8K-28.8K km²,Small ($5B-$25B),$13.9K-$32.6K,1-10K,161-302 /km²,1,0,Tropical (10° to 25°),Americas (-100° to -50°),0,0
BHR,Bahrain,Asia,Western Asia,Right,790,1485509,29084,19000,Manama,38574069149,26.0667,50.5577,North,1880.39,False,1,3,512.5K-2.6M,0-2.8K km²,Developing ($25B-$100B),$13.9K-$32.6K,10K-50K,302-19.0K /km²,1,3-5,Subtropical (25° to 40°),Middle East (30° to 60°),0,0
TLS,Timor-Leste,Asia,South-Eastern Asia,Left,14874,1391221,-1,-1,Dili,-1,-8.833333,125.916667,South,93.53,False,1,0,512.5K-2.6M,2.8K-28.8K km²,Unknown,Unknown,Unknown,72-103 /km²,1,0,Equatorial (-10° to 10°),East Asia (100° to 140°),0,0
EST,Estonia,Europe,Northern Europe,Right,45340,1366188,29824,6000,Tallinn,31386949981,58.595272,25.013607,North,30.13,False,1,2,512.5K-2.6M,28.8K-88.2K km²,Developing ($25B-$100B),$13.9K-$32.6K,1-10K,19-44 /km²,1,1-2,Northern (55°+),Europe/Africa (0° to 30°),0,0
MUS,Mauritius,Africa,Sub-Saharan Africa,Left,2007,1261041,11417,3000,Port Louis,14180444557,-20.348404,57.552152,South,628.32,False,1,2,512.5K-2.6M,0-2.8K km²,Small ($5B-$25B),$7.2K-$13.9K,1-10K,302-19.0K /km²,1,1-2,Southern (-30° to -10°),Middle East (30° to 60°),0,0
